"annotation_id","annotator","c4_id","cleaning_other","cleaning_quality","comments","content_moderation","created_at","document_type","document_type_other","id","lead_time","metadata","pii_labels","privacy_other","privacy_type","quality_score","readability","readability_other","text","timestamp","topic","topic_other","updated_at","url"
|                   | RGFE-10?ZCM?  | 1     | 23450 [6.9]            | 9150 [2.7]           | 55500 [16.3]             | 15.5         | 11                      | 1225 [578]     | 67             |
|                   |               | 2     | 38100 [11.2]           | 17400 [5.1]          |                          |              |                         | 1600 [755]     | 72             |
|                   | RGFE-12?RCM?  | 1     | 23600 [6.9]            | 9200 [2.7]           | 56500 [16.6]             | 16           | 11.5                     | 1225 [578]     | 67             |
|                   |               | 2     | 38550 [11.3]           | 17950 [5.3]          |                          |              |                         | 1625 [767]     | 72             |
|                   | RGFG-09?ZCM?  | 1     | 22550 [6.6]            | 9250 [2.7]           | 56500 [16.6]             | 16           | 10.5                     | 975 [460]      | 67             |
|                   |               | 2     | 41050 [12.0]           | 15450 [4.5]          |                          |              |                         | 1950 [920]     | 72             |
|                   | RGFG-10?ZCM?  | 1     | 24300 [7.1]            | 8300 [2.4]           | 56000 [16.4]             | 15.5         | 11                      | 1200 [566]     | 67             |
|                   |               | 2     | 37800 [11.1]           | 18200 [5.3]          |                          |              |                         | 1650 [779]     | 72             |
|                   | RGFG-12?RCM?  | 1     | 24550 [7.2]            | 8250 [2.4]           | 56000 [16.4]             | 16           | 11.5                     | 1225 [578]     | 67             |
|                   |               | 2     | 37450 [11.0]           | 18550 [5.4]          |                          |              |                         | 1625 [767]     | 72             |
|                   | RGGE-09?ZCM?  | 1     | 23600 [6.9]            | 9200 [2.7]           | 56000 [16.4]             | 16           | 11.5                     | 1225 [578]     | 67             |
|                   |               | 2     | 38400 [11.3]           | 17600 [5.2]          |                          |              |                         | 1600 [755]     | 72             |
|                   | RGGE-10?ZCM?  | 1     | 23450 [6.9]            | 9150 [2.7]           | 56000 [16.4]             | 16           | 11.5                     | 1200 [566]     | 67             |
|                   |               | 2     | 38250 [11.2]           | 17750 [5.2]          |                          |              |                         | 1600 [755]     | 72             |
|                   | RGGE-12?RCM?  | 1     | 24050 [7.0]            | 9350 [2.7]           | 56500 [16.6]             | 16           | 11.5                     | 1375 [649]     | 67             |
|                   |               | 2     | 38750 [11.4]           | 17750 [5.2]          |                          |              |                         | 1750 [826]     | 72             |
|                   | RGJF-09?ZCM?  | 1     | 23600 [6.9]            | 9200 [2.7]           | 56000 [16.4]             | 16           | 11.5                     | 1225 [578]     | 67             |
|                   |               | 2     | 38400 [11.3]           | 17600 [5.2]          |                          |              |                         | 1600 [755]     | 72             |
|                   | RGJF-10?ZCM?  | 1     | 23450 [6.9]            | 9150 [2.7]           | 56000 [16.4]             | 16           | 11.5                     | 1200 [566]     | 67             |
|                   |               | 2     | 38250 [11.2]           | 17750 [5.2]          |                          |              |                         | 1600 [755]     | 72             |
|                   | RGJF-12?RCM?  | 1     | 24050 [7.0]            | 9350 [2.7]           | 56500 [16.6]             | 16           | 11.5                     | 1375 [649]     | 67             |
|                   |               | 2     | 38750 [11.4]           | 17750 [5.2]          |                          |              |                         | 1750 [826]     | 72             |
|                   | RGPE-10?BRM?  | 1     | 23800 [7.0]            | 9200 [2.7]           | 56500 [16.6]             | 16.5         | 11.5                     | 1225 [578]     | 67             |
|                   |               | 2     | 38650 [11.3]           | 17850 [5.2]          |                          |              |                         | 1625 [767]     | 72             |
|                   | RGPE-12?ARM?  | 1     | 23600 [6.9]            | 9200 [2.7]           | 56500 [16.6]             | 16.5         | 12                      | 1200 [566]     | 67             |
|                   |               | 2     | 38800 [11.4]           | 17700 [5.2]          |                          |              |                         | 1625 [767]     | 72             |
|                   | RGRM-10?ZAJ?  | 1     | 23400 [6.9]            | 8800 [2.6]           | 55500 [16.3]             | 16           | 11                      | 1150 [543]     | 67             |
|                   |               | 2     | 37950 [11.1]           | 17550 [5.1]          |                          |              |                         | 1600 [755]     | 72             |
|                   | RGRM-12?RAJ?  | 1     | 23850 [7.0]            | 8950 [2.6]           | 56000 [16.4]             | 16           | 11.5                     | 1225 [578]     | 67             |
|                   |               | 2     | 38350 [11.2]           | 17650 [5.2]          |                          |              |                         | 1625 [767]     | 72             |
|                   | RGTM-07?RBG?  | 1     | 23900 [7.0]            | 9300 [2.7]           | 56500 [16.6]             | 16           | 11.5                     | 1325 [625]     | 67             |
|                   |               | 2     | 38700 [11.3]           | 17800 [5.2]          |                          |              |                         | 1675 [790]     | 72             |

(1) Highest sales volume tested combination required by D.O.E. test procedures.

| Outdoor Unit UASL- | Model Numbers | Stage | Net Sensible BTU/H [kW] | Net Latent BTU/H [kW] | AHRI Ratings | Total Capacity BTU/H [kW] | SEER | EER | Indoor Airflow CFM [L/s] | Sound Rating dB |
|-------------------|---------------|-------|------------------------|----------------------|--------------|---------------------------|------|-----|--------------------------|----------------|
| Rev. 5/8/2012     |               |       |                        |                      |              |                           |      |     |                          |                |
| RCFN-H*6024       | RGTM-10?RBJ?  | 1     | 23950 [7.0]            | 9050 [2.7]           | 56500 [16.6] | 16.5                      | 11.5 |     | 1275 [602]               | 67             |
|                   |               | 2     | 38800 [11.4]           | 17700 [5.2]          |              |                           |      |     | 1675 [790]               | 72             |
|                   | ROLA-070E04   | 1     | 23700 [6.9]            | 8900 [2.6]           | 55500 [16.3] | 15.5                      | 11.5 |     | 1175 [554]               | 67             |
|                   |               | 2     | 38200 [11.2]           | 17300 [5.1]          |              |                           |      |     | 1600 [755]               | 72             |
|                   | ROLA-115E05   | 1     | 23850 [7.0]            | 8950 [2.6]           | 56000 [16.4] | 16                         | 11.5 |     | 1200 [566]               | 67             |
|                   |               | 2     | 38550 [11.3]           | 17450 [5.1]          |              |                           |      |     | 1600 [755]               | 72             |
|                   | RCFN-H*6024+RXMD-C06 | Coil Only | 1 | 24400 [7.1] | 7900 [2.3] | 56500 [16.6] | 15 | 11.5 | 1250 [590] | 67 |
|                   |               | 2     | 38500 [11.3]           | 18000 [5.3]          |              |                           |      |     | 1680 [793]               | 72             |
| RCQD-6024         | RBHM-26J*     | 1     | 22500 [6.6]            | 9300 [2.7]           | 54500 [16.0] | 16.5                      | 12   |     | 1275 [602]               | 67             |
|                   |               | 2     | 36800 [10.8]           | 17700 [5.2]          |              |                           |      |     | 1700 [782]               | 72             |
|                   | RGFE-09?ZCM?  | 1     | 21550 [6.3]            | 9250 [2.7]           | 52500 [15.4] | 15                         | 10.5 |     | 1200 [566]               | 67             |
|                   |               | 2     | 35500 [10.4]           | 17000 [5.0]          |              |                           |      |     | 1600 [755]               | 72             |
|                   | RGFE-10?ZCM?  | 1     | 21550 [6.3]            | 9250 [2.7]           | 52000 [15.2] | 15                         | 10.5 |     | 1225 [578]               | 67             |
|                   |               | 2     | 35350 [10.4]           | 16650 [4.9]          |              |                           |      |     | 1600 [755]               | 72             |
|                   | RGFE-12?RCM?  | 1     | 21700 [6.4]            | 9300 [2.7]           | 52500 [15.4] | 15.5                      | 11   |     | 1225 [578]               | 67             |
|                   |               | 2     | 35600 [10.4]           | 16900 [5.0]          |              |                           |      |     | 1625 [767]               | 72             |
|                   | RGFG-09?ZCM?  | 1     | 22150 [6.5]            | 8450 [2.5]           | 52000 [15.2] | 15                         | 10.5 |     | 1200 [566]               | 67             |
|                   |               | 2     | 34100 [10.0]           | 17900 [5.2]          |              |                           |      |     | 1600 [755]               | 72             |
|                   | RGFG-10?ZCM?  | 1     | 22150 [6.5]            | 8450 [2.5]           | 52500 [15.4] | 15                         | 10.5 |     | 1200 [566]               | 67             |
|                   |               | 2     | 35150 [10.3]           | 17350 [5.1]          |              |                           |      |     | 1650 [779]               | 72             |
|                   | RGFG-12?RCM?  | 1     | 22600 [6.6]            | 8400 [2.5]           | 52500 [15.4] | 15                         | 11   |     | 1225 [578]               | 67             |
|                   |               | 2     | 34800 [10.2]           | 17700 [5.2]          |              |                           |      |     | 1625 [767]               | 72             |
|                   | RGJF-09?ZCM?  | 1     | 21700 [6.4]            | 9300 [2.7]           | 52500 [15.4] | 15                         | 11   |     | 1225 [578]               | 67             |
|                   |               | 2     | 35650 [10.4]           | 16850 [4.9]          |              |                           |      |     | 1600 [755]               | 72             |
|                   | RGJF-10?ZCM?  | 1     | 21550 [6.3]            | 9250 [2.7]           | 52500 [15.4] | 15                         | 10.5 |     | 1200 [566]               | 67             |
|                   |               | 2     | 35500 [10.4]           | 17000 [5.0]          |              |                           |      |     | 1600 [755]               | 72             |
|                   | RGJF-12?RCM?  | 1     | 21700 [6.4]            | 9300 [2.7]           | 52500 [15.4] | 15.5                      | 11   |     | 1200 [566]               | 67             |
|                   |               | 2     | 35800 [10.5]           | 16700 [4.9]          |              |                           |      |     | 1575 [743]               | 72             |
|                   | RGPE-07?BRQ?  | 1     | 21650 [6.3]            | 9350 [2.7]           | 52500 [15.4] | 15.5                      | 11   |     | 1225 [578]               | 67             |
|                   |               | 2     | 35750 [10.5]           | 16750 [4.9]          |              |                           |      |     | 1600 [755]               | 72             |
|                   | RGPE-10?BRM?  | 1     | 21650 [6.3]            | 9350 [2.7]           | 53000 [15.5] | 15.5                      | 11   |     | 1225 [578]               | 67             |
|                   |               | 2     | 35900 [10.5]           | 17100 [5.0]          |              |                           |      |     | 1625 [767]               | 72             |
|                   | RGPE-12?ARM?  | 1     | 21700 [6.4]            | 9300 [2.7]           | 53000 [15.5] | 16                         | 11   |     | 1200 [566]               | 67             |
|                   |               | 2     | 36050 [10.6]           | 16950 [5.0]          |              |                           |      |     | 1625 [767]               | 72             |
|                   | RGRM-09?ZAJ?  | 1     | 21900 [6.4]            | 9100 [2.7]           | 52500 [15.4] | 14.5                      | 10.5 |     | 1225 [578]               | 67             |
|                   |               | 2     | 35600 [10.4]           | 16900 [5.0]          |              |                           |      |     | 1625 [767]               | 72             |
|                   | RGRM-10?ZAJ?  | 1     | 21600 [6.3]            | 9000 [2.6]           | 52500 [15.4] | 15                         | 10.5 |     | 1150 [543]               | 67             |
|                   |               | 2     | 35400 [10.4]           | 17100 [5.0]          |              |                           |      |     | 1600 [755]               | 72             |
|                   | RGRM-12?RAJ?  | 1     | 21850 [6.4]            | 9150 [2.7]           | 53000 [15.5] | 15                         | 11   |     | 1225 [578]               | 67             |
|                   |               | 2     | 35850 [10.5]           | 17150 [5.0]          |              |                           |      |     | 1625 [767]               | 72             |
|                   | ROLA-070E04   | 1     | 21550 [6.3]            | 9250 [2.7]           | 53000 [15.5] | 14.5                      | 10.5 |     | 1175 [554]               | 67             |
|                   |               | 2     | 35450 [10.4]           | 17550 [5.1]          |              |                           |      |     | 1600 [755]               | 72             |
|                   | ROLA-115E05   | 1     | 21700 [6.4]            | 9300 [2.7]           | 53000 [15.5] | 15                         | 11   |     | 1200 [566]               | 67             |
|                   |               | 2     | 35800 [10.5]           | 17200 [5.0]          |              |                           |      |     | 1600 [755]               | 72             |
|                   | RCQD-6024+RXMD-C06 | Coil Only | 1 | 20400 [6.0] | 9100 [2.7] | 53000 [15.5] | 14 | 11 | 1275 [602] | 67 |
|                   |               | 2     | 35600 [10.4]           | 17400 [5.1]          |              |                           |      |     | 1700 [802]               | 72             |

① Highest sales volume tested combination required by D.O.E. test procedures.

## Electrical and Physical Data

| Model Number UASL- | Phase Voltage (Hz/Volts) | Compressor Rated Load Amperes (RLA) | Locked Rotor Amperes (LRA) | Fan Motor Full Load Amperes (FLA) | Minimum Circuit Ampacity Amperes | Fuse or HACR Circuit Breaker Minimum Amperes | Maximum Amperes | Outdoor Coil Face Area Sq. Ft. [m²] | No. Rows | CFM [L/s] | Refrig. Per Circuit Oz. [g] | Weight Net Lbs. [kg] | Shipping Lbs. [kg] |
|-------------------|--------------------------|-------------------------------------|---------------------------|----------------------------------|-----------------------------------|---------------------------------------------|----------------|-----------------------------------|----------|------------|--------------------------------|---------------------|---------------------|
| 025JEC            | 1-60-208/230             | 11.7/11.7                           | 58.3                      | 2.8                              | 18/18                             | 25/25                                       | 25/25          | 15.8 [1.47]                        | 1        | 2500 [1180]| 138 [3912]                     | 206 [93.4]          | 219 [93.4]           |
| 037JEC            | 1-60-208/230             | 15.3/15.3                           | 83                        | 2.8                              | 22/22                             | 30/30                                       | 35/35          | 23.01 [2.14]                       | 1        | 3400 [1604]| 186 [5273]                     | 216 [98]            | 229 [98]             |
| 039JEC            | 1-60-208/230             | 17.9/17.9                           | 96                        | 2.8                              | 26/26                             | 30/30                                       | 40/40          | 23 [2.14]                          | 2        | 3500 [1652]| 268 [7598]                     | 326 [147.9]         | 345 [147.9]          |
| 048JEC            | 1-60-208/230             | 26.9/26.9                           | 117                       | 2.8                              | 37/37                             | 45/45                                       | 60/60          | 23 [2.14]                          | 2        | 3500 [1652]| 253 [7173]                     | 326 [147.9]         | 348 [147.9]          |
| 060JEC            | 1-60-208/230             | 28.2/28.2                           | 146                       | 2.8                              | 39/39                             | 50/50                                       | 60/60          | 23 [2.14]                          | 2        | 3500 [1652]| 241 [6832]                     | 328 [148.8]         | 346 [148.8]          |

**NOTE:** Factory Refrigerant Charge includes refrigerant for 15 feet of standard line set.

## Unit Dimensions

| Model Number UASL- | Height ""H"" (Inches) [mm] | Length ""L"" (Inches) [mm] | Width ""W"" (Inches) [mm] |
|-------------------|-------------------------|--------------------------|------------------------|
| 025JEC/037JEC/039JEC/048JEC/060JEC | 33 [838] | 443/8 [1127] | 311/2 [800] |

## Condensing Unit Refrigerant Line Size Information

### Liquid Line Sizing (2-Stage R-410A)

| R-410A System Capacity Model | Line Size Connection Size (Inch I.D.) [mm] | Line Size (Inch O.D.) [mm] | Liquid Line Size |
|-----------------------------|------------------------------------------|---------------------------|------------------|
|                             |                                          |                           | Outdoor Unit Above Indoor Coil |
|                             |                                          |                           | Cooling Only - Does not apply to Heat Pumps |
|                             |                                          |                           | Total Equivalent Length—Feet [m] |
|                             |                                          |                           | 25 [7.62] | 50 [15.24] | 75 [22.86] | 100 [30.48] | 125 [38.10] | 150 [45.72] |
|                             |                                          |                           | Minimum Vertical Separation—Feet [m] |
| -025                        | 3/8"" [9.53]                              | 1/4"" [6.35]*              | 0                | 0            | 10 [3.05]   | 34 [10.36]   | 58 [17.68]   | 82 [24.99]   |
|                             |                                          | 5/16"" [7.93]              | 0                | 0            | 0            | 0            | 0            | 0            |
|                             |                                          | 3/8"" [9.52]               | 0                | 0            | 0            | 0            | 0            | 0            |
| -037                        | 3/8"" [9.53]                              | 5/16"" [7.93]              | 0                | 0            | 6 [1.83]     | 14 [4.27]    | 21 [6.40]    | 28 [8.53]    |
|                             |                                          | 3/8"" [9.52]*              | 0                | 0            | 0            | 0            | 0            | 0            |
|                             |                                          | 1/2"" [12.70]              | 0                | 0            | 0            | 0            | 0            | 0            |
| -039                        | 3/8"" [9.53]                              | 5/16"" [7.93]*             | 0                | 0            | 0            | 0            | 10 [3.05]    | 24 [7.32]    |
|                             |                                          | 3/8"" [9.52]               | 0                | 0            | 0            | 0            | 0            | 0            |
|                             |                                          | 1/2"" [12.70]              | 0                | 0            | 0            | 0            | 0            | 0            |
| -048                        | 3/8"" [9.53]                              | 5/16"" [7.93]*             | 0                | 0            | 0            | 18 [5.49]    | 40 [12.19]   | 62 [18.90]   |
|                             |                                          | 3/8"" [9.52]               | 0                | 0            | 0            | 0            | 0            | 0            |
|                             |                                          | 1/2"" [12.70]              | 0                | 0            | 0            | 0            | 0            | 0            |
| -060                        | 3/8"" [9.53]                              | 3/8"" [9.52]*              | 0                | 0            | 0            | 0            | 0            | 0            |
|                             |                                          | 1/2"" [12.70]              | 0                | 0            | 0            | 0            | 0            | 0            |

### Liquid Line Sizing (2-Stage R-410A)

| R-410A System Capacity Model | Line Size Connection Size (Inch I.D.) [mm] | Line Size (Inch O.D.) [mm] | Liquid Line Size |
|-----------------------------|------------------------------------------|---------------------------|------------------|
|                             |                                          |                           | Outdoor Unit Below Indoor Coil |
|                             |                                          |                           | Cooling Only - Does not apply to Heat Pumps |
|                             |                                          |                           | Total Equivalent Length—Feet [m] |
|                             |                                          |                           | 25 [7.62] | 50 [15.24] | 75 [22.86] | 100 [30.48] | 125 [38.10] | 150 [45.72] |
|                             |                                          |                           | Maximum Vertical Separation—Feet [m] |
| -025                        | 3/8"" [9.53]                              | 1/4"" [6.35]*              | 25 [11.28]       | 13 [3.96]   | N/A         | N/A         | N/A         | N/A         |
|                             |                                          | 5/16"" [7.93]              | 25 [14.33]       | 44 [13.41]  | 40 [12.19]  | 36 [10.97]  | 30 [9.14]   | 24 [7.32]   |
|                             |                                          | 3/8"" [9.52]               | 25 [15.24]       | 48 [14.63]  | 47 [14.33]  | 46 [14.02]  | 45 [13.72]  | 43 [13.11]  |
| -037                        | 3/8"" [9.53]                              | 5/16"" [7.93]              | N/A              | N/A         | N/A         | N/A         | N/A         | N/A         |
|                             |                                          | 3/8"" [9.52]*              | 12 [3.66]        | 9 [2.74]    | N/A         | N/A         | N/A         | N/A         |
|                             |                                          | 1/2"" [12.70]              | 14 [4.27]        | 13 [3.96]   | 13 [3.96]   | 12 [3.66]   | 12 [3.66]   | 11 [3.35]   |
| -039                        | 3/8"" [9.53]                              | 5/16"" [7.93]*             | 15 [4.57]        | 11 [3.35]   | N/A         | N/A         | N/A         | N/A         |
|                             |                                          | 3/8"" [9.52]               | 18 [5.49]        | 17 [5.18]   | 15 [4.57]   | 13 [3.96]   | 12 [3.66]   | 10 [3.05]   |
|                             |                                          | 1/2"" [12.70]              | 20 [6.10]        | 19 [5.79]   | 19 [5.79]   | 18 [5.49]   | 18 [5.49]   | 18 [5.49]   |
| -048                        | 3/8"" [9.53]                              | 5/16"" [7.93]*             | 25 [10.36]       | 24 [7.32]   | N/A         | N/A         | N/A         | N/A         |
|                             |                                          | 3/8"" [9.52]               | 25 [11.89]       | 36 [10.97]  | 34 [10.36]  | 32 [9.75]   | 29 [8.84]   | 23 [7.01]   |
|                             |                                          | 1/2"" [12.70]              | 25 [12.50]       | 40 [12.19]  | 40 [12.19]  | 39 [11.89]  | 39 [11.89]  | 38 [11.58]  |
| -060                        | 3/8"" [9.53]                              | 3/8"" [9.52]*              | 25 [11.28]       | 33 [10.06]  | 30 [9.14]   | 25 [7.62]   | 15 [4.57]   | N/A         |
|                             |                                          | 1/2"" [12.70]              | 25 [11.89]       | 39 [11.89]  | 38 [11.58]  | 37 [11.28]  | 37 [11.28]  | 36 [10.97]  |

NOTES: N/A = Application not recommended.
*Standard line size.

## Condensing Unit Refrigerant Line Size Information (Con’t.)

### Suction Line Size - Outdoor Unit Above Indoor Coil

| R-410A System Capacity Model | Line Size Connection Size (Inch I.D.) [mm] | Line Size (Inch O.D.) [mm] | Suction Line Size |
|-----------------------------|------------------------------------------|---------------------------|-------------------|
|                             |                                          |                           | Outdoor Unit ABOVE Indoor Coil (Cooling Only - Does not apply to Heat Pumps) |
|                             |                                          |                           | Total Equivalent Length - Feet [m] |
|                             |                                          |                           | 25 [7.62] | 50 [15.24] | 75 [22.86] | 100 [30.48] | 125 [45.72] | 150 [45.72] |
| -025                        | 3/4"" [19.05]                             | 5/8"" [15.88]              | Same as Liquid Line Size Table |
|                             |                                          | 3/4"" [19.05]*             | N/A               |
|                             |                                          | 7/8"" [22.23]              | N/A               |
| -037/-039                   | 3/4"" [19.05]                             | 5/8"" [15.88]              | Same as Liquid Line Size Table |
|                             |                                          | 3/4"" [19.05]*             | N/A               |
|                             |                                          | 7/8"" [22.23]              | N/A               |
| -048                        | 7/8"" [22.23]                             | 5/8"" [15.88]              | Same as Liquid Line Size Table |
|                             |                                          | 3/4"" [19.05]              | Same as Liquid Line Size Table |
|                             |                                          | 7/8"" [22.23]*             | N/A               |
| -060                        | 7/8"" [22.23]                             | 3/4"" [19.05]              | Same as Liquid Line Size Table |
|                             |                                          | 7/8"" [22.23]*             | N/A               |
|                             |                                          | 1-1/8"" [28.58]            | N/A               |

*Standard line size.

### Suction Line Size - Outdoor Unit Below Indoor Coil

| R-410A System Capacity Model | Line Size Connection Size (Inch I.D.) [mm] | Line Size (Inch O.D.) [mm] | Suction Line Size |
|-----------------------------|------------------------------------------|---------------------------|-------------------|
|                             |                                          |                           | Outdoor Unit BELOW Indoor Coil (Cooling Only - Does not apply to Heat Pumps) |
|                             |                                          |                           | Total Equivalent Length - Feet [m] |
|                             |                                          |                           | 25 [7.62] | 50 [15.24] | 75 [22.86] | 100 [30.48] | 125 [45.72] | 150 [45.72] |
| -025                        | 3/4"" [19.05]                             | 5/8"" [15.88]              | Same as Liquid Line Size Table |
|                             |                                          | 3/4"" [19.05]*             | Same as Liquid Line Size Table |
|                             |                                          | 7/8"" [22.23]              | N/A               |
| -037/-039                   | 3/4"" [19.05]                             | 5/8"" [15.88]              | Same as Liquid Line Size Table |
|                             |                                          | 3/4"" [19.05]*             | Same as Liquid Line Size Table |
|                             |                                          | 7/8"" [22.23]              | N/A               |
| -048                        | 7/8"" [22.23]                             | 5/8"" [15.88]              | Same as Liquid Line Size Table |
|                             |                                          | 3/4"" [19.05]              | Same as Liquid Line Size Table |
|                             |                                          | 7/8"" [22.23]*             | Same as Liquid Line Size Table |
| -060                        | 7/8"" [22.23]                             | 3/4"" [19.05]              | Same as Liquid Line Size Table |
|                             |                                          | 7/8"" [22.23]*             | Same as Liquid Line Size Table |
|                             |                                          | 1-1/8"" [28.58]            | N/A               |

*Standard line size.

GENERAL TERMS OF LIMITED WARRANTY*

Ruud will furnish a replacement for any part of this product which fails in normal use and service within the applicable period stated, in accordance with the terms of the limited warranty.

*For complete details of the Limited and Conditional Warranties, including applicable terms and conditions, contact your local contractor or the Manufacturer for a copy of the product warranty certificate.

Conditional Unit Replacement (Registration Required) ........................................... Ten (10) Years
Parts .................................................................................................................. Ten (10) Years

NOTES
UASL- JEC SERIES

NOTES
UASL- JEC SERIES

NOTES
UASL- JEC SERIES

In keeping with its policy of continuous progress and product improvement, Ruud reserves the right to make changes without notice.

Ruud Heating, Cooling & Water Heating • P.O. Box 17010
Fort Smith, Arkansas 72917 • www.ruud.com

Ruud Canada • 125 Edgeware Road, Unit 1
Brampton, Ontario • L6Y 0P5

Rely on Ruud.™

PRINTED IN U.S.A 06/12 GQ FORM NO. A22-211","","TOPIC: Technology","","2026-06-09T14:28:51.236898Z","http://globalimageserver.com/fetchDocument.aspx?id=3a21bb33-0f82-4365-a771-922142a7c259"
225,"1","","","CLEANING: Clean","","","2026-06-09T14:30:54.311848Z","","DOC_TYPE: Email Copy",709,121.897,"{""url"":""https:\/\/www.icann.org\/en\/system\/files\/correspondence\/registry-services-to-mcadory-16may14-en.pdf"",""id"":""<urn:uuid:042b5909-d37d-4e19-a126-8a749f33f78e>"",""date"":""2019-04-21T15:11:43Z"",""language"":""eng_Latn""}","","","PRIVACY: None","[{""rating"":10}]","READABILITY: Easy","","16 March 2014

Re: Third Level Domain Sales RSEP Request

Dear Adrienne McAdory,

ICANN has conducted a preliminary review of Atgron, Inc.'s request to offer third level domain sales in accordance with the Registry Services Evaluation Policy and process provided at: https://new.icann.org/resources/pages/policy-­‐bd-­‐2012-­‐02-­‐25-­‐en.

Based on the information provided, ICANN's preliminary review did not identify any significant competition or security and stability issues. The implementation of your proposal has the potential to substantially affect third parties and would require an amendment to the .WED Registry Agreement between Atgron, Inc. and ICANN (dated 01 October 2013). As a result, ICANN will post the amendment for public comment. ICANN looks forward to working with you on the proposed amendment that will be posted for public comment, and provides the attached amendment language to help facilitate discussions.

If you have any questions, please respond back to this case via the case comment feature. If not, we will move forward with the posting of your amendment shortly.

Regards, Registry Services Team","","TOPIC: Business","","2026-06-09T14:30:54.311917Z","https://www.icann.org/en/system/files/correspondence/registry-services-to-mcadory-16may14-en.pdf"
